repo_id,repo_name,n_stars,n_stars_low_activity,n_stars_latest,p_stars_low_activity
,PrhmHN/PrhmHN-WalletTool,59,59,,1.0
,skaydacaifer/skayz,110,110,,1.0
,beastamya8/Roblox-Synapse-X,98,98,,1.0
,swordguillotine88/solara-executor-download,59,59,,1.0
,Kerpich12/Rep,54,54,,1.0
,BenderFast/Mobox_automation,53,53,,1.0
,AlbionCheater/BattleBit-ESP,102,102,,1.0
,Commita-inf/Fortnite-Private,99,99,,1.0
,Hypeer1337/Discord-Boost-Tool,61,61,,1.0
,Free-download1/Valorant,105,105,,1.0
,zimmermannobukordodwn/Kkzxcn,55,55,,1.0
,deserthaze926/deserthaze9261,97,97,,1.0
,FastMiners/NBMiner,54,54,,1.0
,GloryColumn/Pancakeswap-Sniper-Bot-Free-BSC-Sniper-Bot,263,263,,1.0
,zz8nstokeronterry/dasdasfacxzcass,97,97,,1.0
,popofiraco/pancake-swap,377,377,,1.0
,talhemorota/GitHWIDSpoofer,220,220,,1.0
R_kgDOLDQ1Zw,Mannumanman/DrissionPage,1160,1159,266.0,0.9991379310344828
R_kgDOKkYriw,Eposs10/quests-and-skills,1056,1055,1.0,0.9990530303030303
,sati-ac/.github,345,344,,0.9971014492753624
,Tamatoaman/ARBITRAGE-MEV-BOT,275,274,,0.9963636363636363
,mathside/Valorant-Skin-Checker,249,248,,0.9959839357429718
,mathside/BitcoinExchanger,192,191,,0.9947916666666666
,Ginoultrex/PancakeSwap-Sniper-Bot-Pancake-Swap-Bot,557,554,,0.9946140035906643
,Ghh0ost/ionila1,185,184,,0.9945945945945946
R_kgDOGfcdIw,AidwN/theend,180,179,0.0,0.9944444444444445
,piyush-security/HWID-Spoofer_For_Windows,178,177,,0.9943820224719101
,SPROKTAL/CurseBreaker,170,169,,0.9941176470588236
,RAZERXZ/FiveM-Mod-Menu,145,144,,0.993103448275862
,rantaiconpasub/binance-trading-bot,141,140,,0.9929078014184397
,SupernovaBurstray/MEV-BOT-Ethereum,138,137,,0.9927536231884058
,rectperpabiro/Avola-Skin-Changer,134,133,,0.9925373134328358
,DcRatnikDc/DcRat,134,133,,0.9925373134328358
,ImLightVite/valorant-cheat,127,126,,0.9921259842519685
,beschruccaikrisdio/Skin-Swapper,125,124,,0.992
,SPROKTAL/DISCORD-SNIPER,123,122,,0.991869918699187
,4boRAZAKiQIhanYHebO/42etfr,119,118,,0.9915966386554622
,keganlucey/Front-Running-Bot-Automated-Front-Running-Sniper-Bot-with-GUI,119,118,,0.9915966386554622
,AlbionOnl1ne/AlbionRadar,115,114,,0.991304347826087
,spear-blackseeker/Solara-Executor-Roblox,114,113,,0.9912280701754386
,Harish5055/TradingView-Crack,114,113,,0.9912280701754386
,AlbionHackz/Albion-Fame-Farmer,109,108,,0.9908256880733946
R_kgDOK58zzQ,tukishlo/bitcoin-mixers-verified,109,108,67.0,0.9908256880733946
,mathside/Discord-Token-Gen,106,105,,0.9905660377358491
,Kolupinnacle/MevBot.Uniswap-ETH,102,101,,0.9901960784313726
,tugas-4381/Solara-Executor-Roblox,201,199,,0.9900497512437811
,liafillvimemto/skin-changer,99,98,,0.98989898989899
,skopFlame/Instrument-For-MEVBOT,95,94,,0.9894736842105263
,profovapunex/apexleg,94,93,,0.9893617021276596
,zigzagnikeron/yvge4eug56,93,92,,0.989247311827957
,restbruno/MagicEden-NFT-Mint,90,89,,0.9888888888888889
,mONarcHshAdOWFAnG79/Mev-Bot-ETHEREUM,90,89,,0.9888888888888889
,rodriguezlimichelPhoenix/MEV-BOT-Ethereum,89,88,,0.9887640449438202
,ZunaPrime/Warframe-Gather,87,86,,0.9885057471264368
,ofeqFrost/MevBot.Uniswap-ETH,82,81,,0.9878048780487805
,berkclouds/Discord-Token-Joiner,82,81,,0.9878048780487805
,SPROKTAL/NFT-GENERATOR,245,242,,0.9877551020408163
,emoxHope/Arbitrage-Mev-Bot-ETHEREUM,81,80,,0.9876543209876543
,UocyfAqecCore/Arbitrage-Sandwich-MEV-BOT,81,80,,0.9876543209876543
,SevensSmen/Ascend-Scalp-Bot,79,78,,0.9873417721518988
,ciaprisjerkho1989/Filmora,79,78,,0.9873417721518988
,devilking7867/youtube-view-bot-new,77,76,,0.987012987012987
,Getxec/Solora-V3,152,150,,0.9868421052631579
,FLYSAXZ/RainbowSixSiege-NewestSoftware,152,150,,0.9868421052631579
,PulseCycl0ne/MevBot.Uniswap-ETH,73,72,,0.9863013698630136
,zotoglimmer/MevBot.Uniswap-ETH,73,72,,0.9863013698630136
,Bogsad/gatheringbot,73,72,,0.9863013698630136
,dajustrockprom1989/Filmora,71,70,,0.9859154929577465
,klefimvithe1982/Filmora,68,67,,0.9852941176470589
,prostobestfatal1992/supreme-octo-rotary-phone,68,67,,0.9852941176470589
,berkclouds/Discord-Mass-DM,68,67,,0.9852941176470589
,UfahoPglimmer/MEV-BOT-Gpt4,136,134,,0.9852941176470589
,hmmeMagic/MevBot.Uniswap-ETH,133,131,,0.9849624060150376
,frampmazayded92/Crosshair-X-Crack,65,64,,0.9846153846153847
,ilderloralo/Fatlight-84,194,191,,0.9845360824742269
,UNITEDSTATESOFKORDISTAN/Unit-Tool-Wal1et,64,63,,0.984375
,7795719/GitHub-Free,64,63,,0.984375
,Enuadlyam/Injuan-launcher,123,121,,0.983739837398374
,berkclouds/Modulo-Visualizer,61,60,,0.9836065573770492
,berkclouds/Cardano-NFT-minting,60,59,,0.9833333333333333
,vettipslanta1981/Adobe-Premiere-Pro,59,58,,0.9830508474576272
,SecHex-Spoofy-1/SecHex-Spoofy-V1.5.8,59,58,,0.9830508474576272
,subsfonmarsrit1977/Wondershare-Dr-Fone,57,56,,0.9824561403508771
,berkclouds/Twitter-Solana-NFT-Sales-Bot,57,56,,0.9824561403508771
,juywe/apexlegends,107,105,,0.9813084112149533
,SamukaSRB/AspNetCore-5-Mvc,53,52,,0.9811320754716981
,KevinLove3/valorant,158,155,,0.9810126582278481
,sdfgr34u53/craxs-rat,52,51,,0.9807692307692307
,exxteriumdev/exxteriumclient.net,103,101,,0.9805825242718447
,SoullessCookie/tiktok-account-creator,562,551,,0.9804270462633452
,UycibEstratos/MEV-BOT-Frontrunner,153,150,,0.9803921568627451
,vernicandfatt1983/Sketchup,51,50,,0.9803921568627451
,berkclouds/Telegram-AirDrop-Bot,101,99,,0.9801980198019802
,Paullhs/Byfron-Bypass,101,99,,0.9801980198019802
,comfasttapencont/HWIDSpoofer,100,98,,0.98
,stressernightmare/Stresser,99,97,,0.9797979797979798
,sk4yx/discord-phishing-api,93,91,,0.978494623655914
,PrInCeSSRoBiN/GTA5-Mod-Menu,92,90,,0.9782608695652174
,queclavifgi1982/Adobe-Photoshop,91,89,,0.978021978021978
,Alfred19946/Valorant-hack,90,88,,0.9777777777777777
,samarsm94/interfact95,86,84,,0.9767441860465116
,HeronPreston/valorant-hack,84,82,,0.9761904761904762
,berkclouds/Sol-NFT-MInt-Bot,82,80,,0.975609756097561
,RED-CRYPTER/RED-CRYPTER,78,76,,0.9743589743589743
R_kgDOJxVMKQ,nanette1/PancakeSwap-Sniper-Bot,259,252,227.0,0.972972972972973
R_kgDOIhu38A,ZoppySport/ZoppySportsSystem,111,108,3.0,0.972972972972973
,steelalponbano/Elytra-swapper,73,71,,0.9726027397260274
,exECUTorsoULrendER/MevBot.Uniswap-ETH,145,141,,0.9724137931034482
R_kgDOK58zzQ,tukishlo/best-bitcoin-mixers-2024,72,70,67.0,0.9722222222222222
,0xdevSolb/volume-sol-bot,107,104,,0.9719626168224299
,ER34R34R/Rainbow-Six-SiegeNewestSoftware,106,103,,0.9716981132075472
,mathside/Valorant-Account-Checker-Premium,104,101,,0.9711538461538461
,FastMiners/Gminer,966,936,,0.968944099378882
,rogosgp/greek-iptv,94,91,,0.9680851063829787
R_kgDOJTjHuw,elaina-a11y/Prediction-Bot-Automated-Prediction-Running-Bot,62,60,60.0,0.967741935483871
,Neu-NotEnoughUpdates/NotEnoughUpdates,92,89,,0.967391304347826
,tora-in-net/onion-sites-list-2024,1458,1406,,0.9643347050754458
,LauraYoung1937/LauraYoung1937,56,54,,0.9642857142857143
,maxwell-dev-sol/solana-volume-bot,82,79,,0.9634146341463414
,vaks16/darkweb-now,1490,1435,,0.9630872483221476
,onlofadisp1972/Adobe-Premiere-Pro,52,50,,0.9615384615384616
,webtr333/Nitro-Generator-AND-Checker,747,718,,0.9611780455153949
R_kgDOKwa4bA,tqTitboy/hidden-wiki-2024,103,99,23.0,0.9611650485436893
,GarthOwen/panel-game,76,73,,0.9605263157894737
,usdc-2boks/Creal-Stealer,615,590,,0.959349593495935
,AzopHuber/SecHex-GUI,147,141,,0.9591836734693877
,sdafsakjfh43/spynote,72,69,,0.9583333333333334
,anesthesiahvh/Technetium-AI,118,113,,0.9576271186440678
,Anonimus13372/Coinlist,94,90,,0.9574468085106383
,mathside/Discord-NItro-Token-Checker-V2,67,64,,0.9552238805970149
R_kgDOK_lisQ,vityabamacegora/comet-steam,687,656,370.0,0.9548762736535662
,loliso04/pilochto04,88,84,,0.9545454545454546
,urenesh/bitcoin-mixers-2024,108,103,,0.9537037037037037
,CharLotto5/Soft-Table,85,81,,0.9529411764705882
R_kgDOK7eEVg,Ag1153/DARC,125,119,53.0,0.952
,johnu0/Solana-Sniper-Bot-RUGCHECK,83,79,,0.9518072289156626
,txfescadavie/MevBot,101,96,,0.9504950495049505
R_kgDOLYtRHA,2311676378/2311676378,60,57,1.0,0.95
,riadidaturo/tatsi,355,337,,0.9492957746478873
,feralberry62/solara-executor-free,58,55,,0.9482758620689655
,wasa-ada/tor-verified-list,169,160,,0.9467455621301775
,gendcatemmock1982/Sony-Vegas,74,70,,0.9459459459459459
R_kgDOMIY_Xg,tk1developed/NicoBot-MD,54,51,46.0,0.9444444444444444
,1Lampz1/Uza-Project-v2,141,133,,0.9432624113475178
,nelworktalkphe1970/CorelDraw,86,81,,0.9418604651162791
,sadhanapramuditha/Tarkov-hack,848,797,,0.9398584905660378
R_kgDOItv0jw,vmixsocial/Nethcafe,96,90,8.0,0.9375
,upulkarmaglide/MEV-BOT-JAREDFROMSUBWAYETH,75,70,,0.9333333333333333
,PeterDepOps/MagicEdenBot,58,54,,0.9310344827586207
MDEwOlJlcG9zaXRvcnkyNjU3NzY4MjM=,chengxue2020/dszb,87,81,15.0,0.9310344827586207
,EnterSpise/MightyMinerFIXED,113,105,,0.9292035398230089
R_kgDONbkq8Q,turbor1/solana-copytrade-bot,106,98,0.0,0.9245283018867925
,nick221111191282/cryptoAI,301,278,,0.9235880398671097
,dracul198143/1,169,156,,0.9230769230769231
,HumbleNicole688/telegram-mass-advertiser,127,117,,0.9212598425196851
,swcdse/Spynote-V-10-Latest,75,69,,0.92
,k1ngmnm/DayZ-Cheat,106,97,,0.9150943396226415
MDEwOlJlcG9zaXRvcnkyNzA3MzM1MTg=,s2click/venom,94,86,9.0,0.9148936170212766
R_kgDOIj38dA,HAKANKOKCU/Birdy-Roblox-Place-Explorer,103,94,81.0,0.912621359223301
R_kgDOJrAdvg,serverscanning/place-ipv6-server,987,900,19.0,0.9118541033434651
,xstarfallingx/Arbitrage-Sandwich-Mev-Bot,181,165,,0.9116022099447514
,Christopher-abarikwu/dxr8gyXjjYMQ6KFVAg,79,72,,0.9113924050632911
,axhds8ih00/dll-Aimbot,79,72,,0.9113924050632911
R_kgDOK4bI3w,jinshenganyuci/Telegram-automatic-translation,191,174,14.0,0.9109947643979057
R_kgDOIVT13Q,BlockBox2000/php-radius,56,51,6.0,0.9107142857142857
,StrongZe/valorant-checker,324,295,,0.9104938271604939
,tristandalton/Mev-bot,265,241,,0.909433962264151
,01072006/der8gyXjjYMQ6KFVAg,65,59,,0.9076923076923077
R_kgDOMeyNvA,ndyjan1337/fortnite-external,73,66,6.0,0.9041095890410958
,DARKO1771/discord-advertising-tool,114,103,,0.9035087719298246
,solddead/V1.4M,159,143,,0.89937106918239
,liheckdrizta1973/Davinci-Resolve,69,62,,0.8985507246376812
R_kgDONkqvaQ,caxapok5656/tron-wallet,105,94,106.0,0.8952380952380953
MDEwOlJlcG9zaXRvcnkzNDYzOTk3ODE=,gsqblockchain/gsqbc,65,58,8.0,0.8923076923076924
,anatacha/tidal-live-stream-botting,91,81,,0.8901098901098901
MDEwOlJlcG9zaXRvcnkyMzM3MTIxNjY=,DaniloVinchi/Cryptocurrency-Screener,443,394,81.0,0.8893905191873589
R_kgDONOrFAg,oselezi/solana-volume-sdk,106,94,36.0,0.8867924528301887
,Josiah51m/ETH-ARBITRAGE-MEV-BOT,79,70,,0.8860759493670886
,vislouhii/verified-tor-sites-2024-may,269,238,,0.8847583643122676
,rxson/rxson,69,61,,0.8840579710144928
,feet/watermarker,1440,1273,,0.8840277777777777
,StresserSU/IP-STRESSER,249,220,,0.8835341365461847
,KenjHaki/Auto-Market-Making-Bot,338,298,,0.8816568047337278
,xingsporurag1985/Movavi-Editor,74,65,,0.8783783783783784
,FastMiners/PhoenixMiner,112,98,,0.875
,nftdevs/generate-nfts,376,329,,0.875
,nftdevs/NFTs-Upload-to-OpenSea,1800,1574,,0.8744444444444445
,VihJuan/Ableton-Live-Download,102,89,,0.8725490196078431
,caige22/imitate-spring-framework,663,576,,0.8687782805429864
,Anyworldpypsik/office-2024,67,58,,0.8656716417910447
,tigercub231/hyd65dry5b5,212,183,,0.8632075471698113
,iepikyp/ARBITRAGE-MEV-BOT,87,75,,0.8620689655172413
,HOHOTUTECALME/Adobe-Photoshop,159,137,,0.8616352201257862
R_kgDOJ65lJg,bosyhoka/Paranoid,98,84,1.0,0.8571428571428571
,HOHOTUTECALME/MICROSOFT-OFFICE,142,121,,0.852112676056338
,stroveio/strove.io-client,80,68,,0.85
,Raellebi/Mevbot,60,51,,0.85
,HOHOTUTECALME/Adobe-Premiere,136,115,,0.8455882352941176
,PolkaTopDeck/valorant-cheat,168,142,,0.8452380952380952
MDEwOlJlcG9zaXRvcnkyODYwNDMxOTI=,EmotionEngi/EmotionLib,292,246,7.0,0.8424657534246576
,thejoy03/windows-7-activator,82,69,,0.8414634146341463
,KzowoLuxesNova/MEV-BOT-Frontrunner,88,74,,0.8409090909090909
,h0ckermanchik/Fortnite-NewestSoftware,1149,965,,0.8398607484769365
R_kgDONQKMeQ,pakistani-tiktoker-imsha-rehman/.github,135,113,83.0,0.837037037037037
,recaperhealth1978/Itop-Vpn,67,56,,0.835820895522388
,lindis3es/fantastic-engine,73,61,,0.8356164383561644
MDEwOlJlcG9zaXRvcnkyMzA5NTMxNzg=,LupusLeaks/EasyFN,7491,6255,6880.0,0.8350020024028835
,gyfredsavran/Executor-Delta-rob10x,126,105,,0.8333333333333334
,SandileAlmighty/Rainbow-Six-Siege-Cheat,90,75,,0.8333333333333334
R_kgDOI8F8uA,fintechees/FiSDK,77,64,30.0,0.8311688311688312
,ahmadpanah/Apple-WalletBruter-Main,77,64,,0.8311688311688312
,sahdaela19/Pancakeswap-Sniper-Bot,65,54,,0.8307692307692308
,BlockAudit-Report/KOT,550,454,,0.8254545454545454
,DXVVAY/hcaptcha-reverse,239,197,,0.8242677824267782
,s0laProBotq/sol-copy-trading-bot,73,60,,0.821917808219178
R_kgDONNs9pw,kawhi0828/MoonBit-Code-JAM-2024,67,55,32.0,0.8208955223880597
MDEwOlJlcG9zaXRvcnkzNTIxOTEyOTk=,kzltp/ArkTracker,61,50,58.0,0.819672131147541
,Gamorrra/Redline,105,86,,0.819047619047619
,Homicipher-APK-Mobile-Free/.githud,66,54,,0.8181818181818182
,cyrilliumd3v/Cyrillium-AI,108,88,,0.8148148148148148
,mypha-store/MedicalStore,69,56,,0.8115942028985508
,AhmadSheblak/FlutterAhmad,111,90,,0.8108108108108109
,vitoriosolo1/Mevbot,120,97,,0.8083333333333333
,EtheriumErc/Eth,104,84,,0.8076923076923077
,LiguaOfLegendss1/LeagueofLegends,103,83,,0.8058252427184466
,w1961/darkweb-tour,205,165,,0.8048780487804879
,minusmiwka7/stunning-rotary-phone,91,73,,0.8021978021978022
R_kgDONZMkbg,sansujon/pushpa_,90,72,44.0,0.8
,bridges47/solana-copy-trading-bot,189,151,,0.798941798941799
,ManagerPX/JJSploit,108,86,,0.7962962962962963
,katiamch/Solara-Executor,191,152,,0.7958115183246073
,XFQWFRE/Fortnite-Skin-Swapper,166,132,,0.7951807228915663
,katelin63/MEV-BOT,302,239,,0.7913907284768212
R_kgDONeAfKg,saddamskst/Skill-Course-10x,66,52,182.0,0.7878787878787878
,noobkuna/asdsa.StynatYM7a412,179,141,,0.7877094972067039
,ER34R34R/Ellias-Skin-Swapper,117,92,,0.7863247863247863
,raffverofar1980/Sketchup,65,51,,0.7846153846153846
,rlaeodud001/rlaeodud0011,69,54,,0.782608695652174
,vlad-kuc/MevBot,287,224,,0.7804878048780488
,youbugme/laucherMenu,80,62,,0.775
R_kgDOHMZSIQ,IPILabs/shorter-v1-periphery,453,350,41.0,0.7726269315673289
,dentpoldiaflixfuh/dorftrip,340,261,,0.7676470588235295
,maggiorana/vpn2024,255,195,,0.7647058823529411
,howredapares/R6-NEW-SOFTWARE,93,71,,0.7634408602150538
MDEwOlJlcG9zaXRvcnkxODQwNzM3MTA=,jen-soft/pydocker,92,70,34.0,0.7608695652173914
,Solh0xq/solana-bump-bot,204,155,,0.7598039215686274
,darknetplace/dark-markets-link,206,156,,0.7572815533980582
,vitaliydon2/verified-tor-sites,846,638,,0.7541371158392435
,terry252/tor-sites-list-2024-updated,1524,1143,,0.75
MDEwOlJlcG9zaXRvcnkzNzE0OTkxMjI=,AmitAKB/shoppingcart,140,105,103.0,0.75
,0xbeaff/testts,270,202,,0.7481481481481481
,neuspywicpulbio/libo,395,295,,0.7468354430379747
,winbopetosa/rabatt,253,188,,0.7430830039525692
,vaytupemerrock/capwi,377,280,,0.7427055702917772
,NotEnoughUpdates0/NotEnoughUpdates,122,90,,0.7377049180327869
,teaspartracammorr/Fortnite-software,313,230,,0.7348242811501597
,eddieBaute/AutoCAD,79,58,,0.7341772151898734
,sonsofuttam/cricfytv,75,55,,0.7333333333333333
,7RDMC/SoulSniper-SOLANA-SNIPER-BOT,477,344,,0.7211740041928721
,guenerabomsi/OVERWATCH,125,90,,0.72
,j22162AHuZy/kgikqx68li9v,89,64,,0.7191011235955056
,worsathanktabna/pode,352,253,,0.71875
R_kgDOIkClpA,iqhelp/iqhelp,1813,1295,1306.0,0.7142857142857143
,Ganiy12/TraderClient,98,70,,0.7142857142857143
,thmatpartgipegas/discnu,387,276,,0.7131782945736435
,hellbirdglamorous6/solara-executor-2024,87,62,,0.7126436781609196
,Skyart97/Roblox-Solara-Injector,97,69,,0.711340206185567
,tostakei/MevBot,258,183,,0.7093023255813954
R_kgDONNs-YA,DELJKO/pakistani-star-imsha-rehman-video-link,72,51,37.0,0.7083333333333334
,bow16nelson/Solara-Executor-Roblox,175,123,,0.7028571428571428
,CanFeelMyHeart/Emida-Enjoyer,413,290,,0.7021791767554479
,technetiumd3v/technetium-AI,123,86,,0.6991869918699187
,terribilini/dark-web-links,369,257,,0.6964769647696477
R_kgDOHap2FA,ArtyfactMetaverse/ARTY-token,120,83,125.0,0.6916666666666667
,GSRHackZ/EdgyBot_edgenuity-nuke,493,338,,0.6855983772819473
,8uraj/8uraj-ToolBtc-Main,430,294,,0.6837209302325581
,blinatevoter/Roblox-Synapse-x-Crack,160,109,,0.68125
MDEwOlJlcG9zaXRvcnk5MDI1MjU3NA==,jun7th/WebHubBot,80,54,42.0,0.675
,w8Uy67Tv/aml-check-bot,183,123,,0.6721311475409836
,jopki/jopbot-cli,97,65,,0.6701030927835051
,PeterSamuel2001/Solana-Bot,302,202,,0.6688741721854304
,aitsereal96/pinch,87,58,,0.6666666666666666
,InstCrack/instcrack.com,110,73,,0.6636363636363637
R_kgDOHQPxRg,MizzyPD/Pokemon-Daybreak,107,71,88.0,0.6635514018691588
R_kgDOIgtn2Q,YABOIpy/GoDm,395,262,138.0,0.6632911392405063
R_kgDONbIyng,adamw221/Pixel-Gun-3D,92,61,96.0,0.6630434782608695
,Error-IDK/Blox-Fruits-Script,138,91,,0.6594202898550725
,Apurina/Mevbot,88,58,,0.6590909090909091
,OthaZacwhisper/MEV-BOT-ETH,161,106,,0.6583850931677019
,mepahulca1973/Adobe-Premiere-Pro,111,73,,0.6576576576576577
R_kgDOHNKpmg,numbersprotocol/nit,4351,2860,4410.0,0.6573201562859113
R_kgDOLwKggg,swagging-post/Blooket-Cheat-GUI-aka-Swaggers-GUI,268,176,287.0,0.6567164179104478
,MrAmanya/V-MaxProject,131,86,,0.6564885496183206
R_kgDOIbCNKg,Di3colearn/Active-Developer-Badge,457,299,449.0,0.6542669584245077
,maguskay/Seed-Phrase-Generator,263,172,,0.6539923954372624
,Taylorexe/Solara-Executor,83,54,,0.6506024096385542
,achaf/Crypto-trading-bot-2024,931,604,,0.6487647690655209
R_kgDOLfHL_g,fengwensheng100/springbok,156,101,24.0,0.6474358974358975
R_kgDOIbJh0g,realfalcary/Pokemon-Myth,133,86,103.0,0.6466165413533834
,feet/audient,6815,4385,,0.6434336023477623
,whiterose678/binance-trading-bot,84,54,,0.6428571428571429
R_kgDOKUJGOQ,chai-research/chaiverse,501,322,182.0,0.6427145708582834
R_kgDOKpFrGQ,yuezhengfu/CNPS.cycle,81,52,36.0,0.6419753086419753
R_kgDOLWXirg,krithivjayapr/TweetMaster,78,50,39.0,0.6410256410256411
R_kgDOI0sARw,Gilgiltsu/FMTools,111,71,112.0,0.6396396396396397
MDEwOlJlcG9zaXRvcnkzNTEwMjgwMDU=,dikisiswanto/barka,172,110,162.0,0.6395348837209303
R_kgDOM9r-7A,sjy-dv/nnv,158,101,176.0,0.6392405063291139
,Skytls/Skytils,85,54,,0.6352941176470588
,GSRHackZ/EdgyBot_Edgenuity_Bot,82,52,,0.6341463414634146
,drainerstore00/MULTICHAINDRAINER-ETHEREUM-DRAINER-CRYPTO-DRAINER-2023-ETH-DRAINER-TOKEN-NFT-SEAPORT-,313,198,,0.6325878594249201
MDEwOlJlcG9zaXRvcnkzNjg1Njg3OTU=,kazura233/web-daemon,685,432,671.0,0.6306569343065693
,tomhginis/html5-picture-editor,165,104,,0.6303030303030303
R_kgDONKA7Cg,MineMe0812/multichain-volume-bot,81,51,4.0,0.6296296296296297
,ijseven-5674/Roblox-Solara-Download,198,124,,0.6262626262626263
,Cryptocandy342/Pancakeswap-Sniper-Bot,396,248,,0.6262626262626263
,eexaf/MEV-BOT,87,54,,0.6206896551724138
MDEwOlJlcG9zaXRvcnkzNjU1NDYwNTE=,donato-fiore/GameSeagull,289,179,298.0,0.6193771626297578
,astonium-dev2/rainbow-six-siege-astonium,191,118,,0.6178010471204188
,Bijen786/FILMORA-CRACK-DOWNLOAD-2023-40957,209,129,,0.6172248803827751
R_kgDOIkeA0w,pachimsh/pachim-docs,185,114,197.0,0.6162162162162163
